source,target
"sleep disturbance, loss of interest, fatigue, persistent sadness",depression
"diarrhea, stomach cramps for a week",gastroenteritis
"hearing difficulty, ear drainage, fever",otitis_media
"blurred vision, fatigue for a week",diabetes
"loss of taste, loss of smell, fever, dry cough since yesterday",covid-19
sensitivity to light and chest discomfort,bronchitis
sore throat,influenza
"sleep disturbance, loss of interest, fatigue and persistent sadness",depression
"fever, left arm pain, shortness of breath, chest pain",heart_disease
"pale skin, weight loss, frequent urination, fatigue, blurred vision, increased thirst",diabetes
"shortness of breath, sore throat, chills, body ache, fever",influenza
"nausea, stomach cramps, vomiting and diarrhea",gastroenteritis
"pale skin, shortness of breath, fatigue, diarrhea, dizziness",anemia
"ear pain, hearing difficulty, fever",otitis_media
"sneezing, runny nose, nasal congestion",allergic_rhinitis
fever,appendicitis
"rapid heartbeat, dry skin",eczema
"lower abdominal pain, burning u",urinary_tract_infection
"loss of height, back pain",osteoporosis
"fatigue, frequent urination, lower abdominal pain, urgency, blurred vision",diabetes
"shortness of breath, persistent cough",bronchitis
"itchy eyes, nasal congestion",allergic_rhinitis
dizziness for a week,anemia
fever,otitis_media
"headache, nosebleed, dizziness",hypertension
"trembling, restlessness, sweating",anxiety
"stomach cramps, diarrhea, vomit",gastroenteritis
"persistent cough, mucus, shortness of breath and chest discomfort",bronchitis
"fever, vomiting, diarrhea, stomach cramps and nausea",gastroenteritis
"dizziness, fatigue, pale skin, sh",anemia
Patient reports mild sensitivity to light and itchy eyes,allergic_rhinitis
"bone pain, fractures, loss of height, back pain",osteoporosis
"itchy eyes, sneezing",allergic_rhinitis
"blisters, red patches, itchy skin",eczema
"Complains of persistent cough, shortness of breath, chest disco",bronchitis
"bone pain, back pain, loss of height for 2 days",osteoporosis
"fever, ear pain for 2 days",otitis_media
"restlessness, trembling",anxiety
"fatigue, increased thirst, weight loss",diabetes
"dry cough, fever",covid-19
"fever, productive cough for a week",pneumonia
"chest pain, fever, productive cough for 2 days",pneumonia
"fever, nausea, loss of appetite, right lower abdominal pain",appendicitis
"nausea, visual aura and severe headache",migraine
"fever, ear pain, ear drainage, hearing difficulty, nasal congestion",otitis_media
"sneezing, back pain, itchy eyes, ",allergic_rhinitis
"nausea, loss of appetite, fever, right lower abdominal pain",appendicitis
"itchy skin, dry skin",influenza
"fatigue, shortness of breath",anemia
"sleep disturbance, persistent sadness and restlessness",depression
"severe nasal congestion, mild cough, nausea, sneezing",common_cold
"sweating, chest pain, left arm pain for a week",heart_disease
burning urination and itchy eyes,allergic_rhinitis
"fatigue, sore throat and cough",influenza
fatigue and weight loss,diabetes
chest pain and mild cough,heart_disease
"fractures, bone pain, shortness ",osteoporosis
"fever, chest pain",pneumonia
"chest pain, fever, back pain, loss of height, bone pain and fractures",osteoporosis
chest pain and shortness of breath,pneumonia
"Patient reports wheezing, shortness of breath since yesterday",asthma
blisters,eczema
"sneezing, mild cough",common_cold
moderate nausea,gastroenteritis
"Complains of sore throat, cough, trembling",influenza
shortness of breath and chest pain,pneumonia
"ear drainage, back pain, fractures, loss of height",osteoporosis
"mild mild cough, nasal congestion, sneezing, ",common_cold
persistent sadness,depression
"Complains of mild cough, sneezing",common_cold
dry skin,eczema
fatigue,diabetes
"shortness of breath, fatigue, pale skin",anemia
loss of height,osteoporosis
"loss of smell, fatigue, dry cough since yesterday",covid-19
"loss of smell, dry cough, fever, fatigue and loss of taste",covid-19
"weight loss, increased thirst and fatigue for a week",diabetes
"shortness of breath, mucus, persistent cough, chest discomfort",bronchitis
nosebleed,hypertension
"itchy skin, burning urination, urgency, lower abdominal pain, dry skin",urinary_tract_infection
visual aura,diabetes
"Complains of lower abdominal pain, urgency, frequent urination",urinary_tract_infection
"chest tightness, shortness of breath, night cough, wheezing",asthma
I have runny nose for several months,allergic_rhinitis
"stomach cramps, vomiting",gastroenteritis
"restlessness, rapid heartbeat, sweating and trembling",anxiety
nausea and diarrhea,gastroenteritis
"sweating, left arm pain, fever, shortness of breath, chest pain",heart_disease
"fever, fatigue, loss of taste, dry cough, loss of smell",covid-19
"headache, blurred vision, nosebleed",hypertension
"cough, body ache, sore throat",influenza
"body ache, loss of smell, fever, fatigue",covid-19
"moderate sweating, restlessness",anxiety
"Patient reports fatigue, loss of interest, persistent sadnes",depression
"back pain, loss of height",osteoporosis
"mild fatigue, hearing difficulty, pale skin",anemia
"moderate diarrhea, stomach cramps",gastroenteritis
visual aura,migraine
"runny nose, sneezing, dizziness, nasal congestion",allergic_rhinitis
"dry skin, itchy skin, fatigue, blisters",eczema
Patient reports chills,influenza
nasal congestion,allergic_rhinitis
"diarrhea, nausea, stomach cramps, sensitivity to light, vomiting",gastroenteritis
"shortness of breath, chest tightness",asthma
"restlessness, trembling, rapid heartbeat and sweating since yesterday",anxiety
"frequent urination, lower abdominal pain, burning urination, urgency for a week",urinary_tract_infection
"nasal congestion, runny nose, itchy eyes, sneezing",allergic_rhinitis
"persistent sadness, fatigue and loss of interest",depression
"persistent cough, mucus, shortness of breath, chest discomfort for several months",bronchitis
"increased thirst, stomach cramps, frequent urination, vomiting, weight loss",diabetes
stomach cramps,gastroenteritis
"fractures, back pain and loss of height",osteoporosis
"stomach cramps, diarrhea and naus",gastroenteritis
"Complains of sneezing, nasal congestion",common_cold
"Complains of fever, hearing difficulty, ear drainage, ear pain for several months",otitis_media
fever,appendicitis
"nausea, stomach cramps, diarrhea, dizziness, vomiting, pale skin",gastroenteritis
"right lower abdominal pain, fever, loss of appetite",appendicitis
"diarrhea, stomach cramps, nausea, vom",gastroenteritis
"chest pain, shortness of breath, left arm ",heart_disease
fatigue since yesterday,anemia
"shortness of breath, chest pain, ",pneumonia
I have nosebleed,pneumonia
"blurred vision, mucus, persistent cough",diabetes
"blisters, dry skin, itchy skin, red patches",eczema
itchy skin,eczema
"headache, left arm pain, sweating",hypertension
"right lower abdominal pain, loss of appetite, fever, nausea",appendicitis
persistent cough,bronchitis
"mild cough, runny nose, sneezing",common_cold
"mild shortness of breath, chest discomfort and",bronchitis
"nausea, stomach cramps, vomiting",gastroenteritis
"chest pain, fever, fever, nausea and shortness of breath for a week",pneumonia
sleep disturbance,bronchitis
"persistent cough, chest discomfort, shortness of breath, mu",bronchitis
"blisters, red patches and dry sk",eczema
sleep disturbance and persistent sadness,depression
"shortness of breath, wheezing, chest tightness and night cough",asthma
chest tightness for several months,asthma
"loss of interest, sleep disturbance, persistent sadness, chest tightness",depression
"sleep disturbance, loss of interest, persistent sadness and nasal congestion",depression
"Patient reports fractures, loss of height, back pain, bone pain since yesterday",osteoporosis
"fatigue, pale skin, dizziness, shortness of breath",anemia
"nausea, severe headache, visual aura, sensitivity to light",migraine
"fever, chills, fatigue, sore throat, cough, body ache",influenza
fractures and back pain,osteoporosis
"pale skin, shortness of breath, fatigue, nasal congestion",anemia
"Patient reports dizziness, pale skin, shortness of breath, fatigue",anemia
"fatigue, persistent sadness, sleep disturbance",depression
"burning urination, urgency",urinary_tract_infection
"nausea, runny nose, severe head",migraine
"nausea, fever, urgency, lower abdominal pain",urinary_tract_infection
"red patches, itchy skin, blisters",eczema
"sneezing, runny nose, mild cough and nasal congestion",common_cold
"loss of taste, fatigue, dry cough, loss of smell",covid-19
"I have fever, productive cough, chest pain",pneumonia
"runny nose, sneezing",common_cold
"mild blurred vision, frequent urination and weight loss",diabetes
shortness of breath,heart_disease
nosebleed,hypertension
"runny nose, headache",hypertension
bone pain,osteoporosis
"shortness of breath, chest tightness",asthma
"nasal congestion, sneezing, runny nose and mild cough",common_cold
"blurred vision, nosebleed, dizziness",hypertension
Patient reports itchy skin,eczema
"severe productive cough, shortness of breath",pneumonia
"frequent urination, urgency and burning urination",urinary_tract_infection
"nausea, vomiting, stomach cramps, diarrhea",gastroenteritis
shortness of breath,asthma
"shortness of breath, chest pain and productive cough since yesterday",pneumonia
"frequent urination, urgency, burning urination, lower abdominal pain for a week",urinary_tract_infection
increased thirst,diabetes
"blurred vision, nosebleed, headache, dizziness since yesterday",hypertension
"loss of smell, fever, fatigue, loss of taste, dry cough",covid-19
"sensitivity to light, fractures",osteoporosis
runny nose since yesterday,allergic_rhinitis
"right lower abdominal pain, loss of appetite",appendicitis
"fatigue, persistent sadness and loss of interest",depression
"moderate fever, blurred vision, chest pain, shortness of bre",pneumonia
"body ache, fever, chills, sore throat, coug",influenza
"shortness of breath, sweating, left arm pain, chest pain",heart_disease
"sweating, trembling, rapid heartbeat and restlessness",anxiety
"urgency, left arm pain, shortness of breath, chest pain, sweating",heart_disease
"moderate nasal congestion, mild cough, sneezing",common_cold
"dizziness, headache",hypertension
Patient reports pale skin,anemia
urgency,urinary_tract_infection
sneezing,common_cold
"shortness of breath, runny nose",asthma
Patient reports headache,hypertension
"chest discomfort, shortness of br",bronchitis
"Patient reports dizziness, blurred vision",hypertension
"burning urination, frequent urination,",urinary_tract_infection
"nausea, loss of appetite, fever, night cough for 2 days",appendicitis
